rank,team,conference,record
261,Bethune-Cookman,16-15,SWAC
262,Lindenwood,15-15,OVC
263,Dartmouth,9-16,Ivy League
264,Boston U.,16-17,Patriot
265,Morehead St.,17-13,OVC
266,Longwood,13-16,Big South
267,East Carolina,10-20,American
268,UTEP,8-20,CUSA
269,Sacramento St.,7-21,Big Sky
270,Hampton,11-19,CAA
271,North Dakota,15-17,Summit League
272,Southern Utah,7-22,WAC
273,UC Riverside,8-22,Big West
274,Pepperdine,7-23,WCC
275,Mercyhurst,15-17,NEC
276,Lehigh,16-16,Patriot
277,N.C. A&T,9-19,CAA
278,Southern U.,13-16,SWAC
279,Loyola Chicago,9-24,Atlantic 10
280,Central Mich.,8-21,MAC
281,Mount St. Mary's,14-17,MAAC
282,UIW,9-19,Southland
283,Western Mich.,9-20,MAC
284,South Dakota,13-16,Summit League
285,Bellarmine,11-19,ASUN
286,Northeastern,7-24,CAA
287,Delaware,10-20,CUSA
288,Chattanooga,10-19,SoCon
289,Central Conn. St.,16-12,NEC
290,Le Moyne,14-17,NEC
291,Eastern Ky.,9-21,ASUN
292,UNC Greensboro,13-19,SoCon
293,Sacred Heart,13-19,MAAC
294,Houston Christian,10-20,Southland
295,Southeastern La.,8-22,Southland
296,Brown,7-18,Ivy League
297,Jacksonville,10-20,ASUN
298,West Ga.,13-17,ASUN
299,Ball St.,10-19,MAC
300,Northwestern St.,8-22,Southland
301,Wagner,11-17,NEC
302,USC Upstate,10-19,Big South
303,East Texas A&M,9-21,Southland
304,Grambling,12-19,SWAC
305,Evansville,5-25,MVC
306,Alabama A&M,15-14,SWAC
307,Georgia St.,8-22,Sun Belt
308,Tennessee Tech,10-18,OVC
309,Little Rock,10-20,OVC
310,Prairie View,12-17,SWAC
311,Florida A&M,13-15,SWAC
312,Oral Roberts,7-23,Summit League
313,Louisiana,11-22,Sun Belt
314,Stetson,10-21,ASUN
315,Northern Ariz.,7-22,Big Sky
316,Ark.-Pine Bluff,11-19,SWAC
317,Cleveland St.,8-22,Horizon
318,Norfolk St.,11-17,MEAC
319,IU Indy,5-25,Horizon
320,Eastern Ill.,10-20,OVC
321,UMass Lowell,12-18,America East
322,Texas Southern,10-18,SWAC
323,Lafayette,10-21,Patriot
324,Alabama St.,9-22,SWAC
325,New Haven,11-17,NEC
326,UAlbany,8-21,America East
327,NJIT,15-17,America East
328,Loyola Maryland,10-20,Patriot
329,Manhattan,11-20,MAAC
330,CSU Bakersfield,6-24,Big West
331,Holy Cross,9-22,Patriot
332,Stonehill,10-21,NEC
333,Bucknell,10-23,Patriot
334,FDU,8-21,NEC
335,NIU,7-21,MAC
336,Army West Point,9-21,Patriot
337,North Florida,5-25,ASUN
338,North Ala.,7-21,ASUN
339,Maine,7-24,America East
340,Chicago St.,6-25,NEC
341,Niagara,7-22,MAAC
342,Canisius,9-21,MAAC
343,UTSA,3-25,American
344,N.C. Central,9-17,MEAC
345,Southern Ind.,5-23,OVC
346,The Citadel,8-22,SoCon
347,New Hampshire,7-21,America East
348,Jackson St.,12-21,SWAC
349,Alcorn,9-23,SWAC
350,Air Force,3-29,Mountain West
351,UMES,7-23,MEAC
352,Morgan St.,11-16,MEAC
353,Saint Francis,5-24,NEC
354,Bryant,7-22,America East
355,ULM,2-28,Sun Belt
356,South Carolina St.,8-21,MEAC
357,Rider,3-25,MAAC
358,Kansas City,1-27,Summit League
359,VMI,3-26,SoCon
360,Binghamton,5-23,America East
361,Gardner-Webb,2-28,Big South
362,Delaware St.,5-21,MEAC
363,Coppin St.,6-24,MEAC
364,Western Ill.,2-26,OVC
365,Mississippi Val.,2-30,SWAC
