rank,team,conference,record
137,Fresno St.,11-14,Mountain West
138,Troy,16-10,Sun Belt
139,Wright St.,15-10,Horizon
140,Kent St.,18-7,MAC
141,UTRGV,13-12,Southland
142,Richmond,13-13,Atlantic 10
143,Northern Colo.,14-10,Big Sky
144,Cornell,10-11,Ivy League
145,Navy,20-6,Patriot
146,Arkansas St.,14-11,Sun Belt
147,North Texas,13-11,American
148,Marshall,16-10,Sun Belt
149,Bowling Green,13-11,MAC
150,Rutgers,11-15,Big Ten
151,Maryland,10-16,Big Ten
152,St. Bonaventure,13-12,Atlantic 10
153,Saint Joseph's,14-10,Atlantic 10
154,Mercer,14-10,SoCon
155,Oakland,13-13,Horizon
156,Boston College,9-17,ACC
157,Valparaiso,14-13,MVC
158,Utah Tech,13-11,WAC
159,UT Arlington,12-11,WAC
160,Robert Morris,16-10,Horizon
161,Harvard,13-10,Ivy League
162,Middle Tenn.,9-14,CUSA
163,Col. of Charleston,16-10,CAA
164,Penn,12-10,Ivy League
165,Temple,14-11,American
166,Idaho,11-12,Big Sky
167,Toledo,11-13,MAC
168,Marist,15-10,MAAC
169,Georgia Tech,11-16,ACC
170,UC Davis,14-10,Big West
171,New Mexico St.,9-13,CUSA
172,South Alabama,17-8,Sun Belt
173,LMU (CA),12-15,WCC
174,CSUN,14-10,Big West
175,Towson,12-13,CAA
176,Central Ark.,15-10,ASUN
177,Kennesaw St.,12-11,CUSA
178,Lipscomb,15-11,ASUN
179,Western Ky.,13-11,CUSA
180,Columbia,13-9,Ivy League
181,App State,16-10,Sun Belt
182,Montana,11-11,Big Sky
183,Oregon St.,14-14,WCC
184,Merrimack,18-9,MAAC
185,Charlotte,12-13,American
186,Fordham,12-12,Atlantic 10
187,UT Martin,17-8,OVC
188,Siena,18-9,MAAC
189,Tulane,14-10,American
190,Buffalo,13-11,MAC
191,Elon,12-13,CAA
192,LIU,18-9,NEC
193,Northern Ky.,14-11,Horizon
194,Massachusetts,14-12,MAC
195,Monmouth,13-12,CAA
196,Cal St. Fullerton,11-14,Big West
197,FIU,9-13,CUSA
198,Furman,14-11,SoCon
199,A&M-Corpus Christi,10-13,Southland
200,Quinnipiac,17-10,MAAC
201,Drake,10-17,MVC
202,Youngstown St.,11-14,Horizon
203,Weber St.,11-14,Big Sky
204,Queens (NC),15-12,ASUN
205,South Dakota St.,9-16,Summit League
206,Campbell,10-14,CAA
207,Samford,13-12,SoCon
208,Tarleton St.,9-13,WAC
209,Colgate,14-12,Patriot
210,Lamar University,10-15,Southland
211,Stony Brook,14-11,CAA
212,James Madison,14-13,Sun Belt
213,New Orleans,12-15,Southland
214,Vermont,15-10,America East
215,Missouri St.,10-13,CUSA
216,Southeast Mo. St.,14-11,OVC
217,Ohio,12-13,MAC
218,Howard,13-10,MEAC
219,Jacksonville St.,10-13,CUSA
220,Drexel,12-14,CAA
221,Eastern Mich.,9-17,MAC
222,Eastern Wash.,8-17,Big Sky
223,Portland,10-16,WCC
224,Green Bay,13-13,Horizon
225,San Diego,9-17,WCC
226,UNC Asheville,9-14,Big South
227,Coastal Carolina,15-12,Sun Belt
228,Saint Peter's,14-9,MAAC
229,Indiana St.,8-18,MVC
230,Wofford,16-10,SoCon
231,Abilene Christian,9-14,WAC
232,Idaho St.,7-17,Big Sky
233,Denver,10-15,Summit League
234,Tennessee St.,14-9,OVC
235,Southern Miss.,12-14,Sun Belt
236,Texas St.,15-11,Sun Belt
237,Iona,15-12,MAAC
238,Cal Poly,9-16,Big West
239,La Salle,6-19,Atlantic 10
240,Radford,11-13,Big South
241,Lindenwood,13-11,OVC
242,Louisiana Tech,12-11,CUSA
243,SIUE,14-10,OVC
244,UMBC,14-8,America East
245,Fairfield,15-11,MAAC
246,Detroit Mercy,10-13,Horizon
247,Rice,9-15,American
248,Milwaukee,10-17,Horizon
249,Omaha,11-14,Summit League
250,Dartmouth,8-13,Ivy League
251,San Jose St.,6-19,Mountain West
252,Old Dominion,9-18,Sun Belt
253,Charleston So.,10-15,Big South
254,Princeton,7-17,Ivy League
255,FGCU,11-15,ASUN
256,American,13-13,Patriot
257,Hampton,10-14,CAA
258,Purdue Fort Wayne,12-13,Horizon
259,Ga. Southern,13-12,Sun Belt
260,Nicholls,10-16,Southland
261,Western Caro.,9-15,SoCon
262,Bethune-Cookman,12-13,SWAC
263,Sacramento St.,6-16,Big Sky
264,Long Beach St.,6-18,Big West
265,UTEP,7-16,CUSA
266,Boston U.,12-15,Patriot
267,East Carolina,8-17,American
268,N.C. A&T,8-14,CAA
269,Morehead St.,12-12,OVC
270,Delaware,9-16,CUSA
271,Presbyterian,10-14,Big South
272,Central Conn. St.,13-10,NEC
273,Longwood,11-14,Big South
274,Northeastern,6-18,CAA
275,Pepperdine,6-20,WCC
276,North Dakota,12-14,Summit League
277,South Dakota,11-13,Summit League
278,Grambling,9-14,SWAC
279,Southern Utah,6-17,WAC
280,Southern U.,9-14,SWAC
281,Eastern Ky.,8-18,ASUN
282,Le Moyne,13-13,NEC
283,Mercyhurst,11-14,NEC
284,Brown,6-15,Ivy League
285,Georgia St.,7-18,Sun Belt
286,Bellarmine,9-16,ASUN
287,UC Riverside,6-19,Big West
288,East Texas A&M,9-17,Southland
289,Western Mich.,8-16,MAC
290,UIW,7-17,Southland
291,Central Mich.,6-18,MAC
292,Southeastern La.,7-19,Southland
293,Houston Christian,8-17,Southland
294,USC Upstate,8-16,Big South
295,Sacred Heart,11-16,MAAC
296,UNC Greensboro,10-16,SoCon
297,Chattanooga,7-17,SoCon
298,Mount St. Mary's,11-15,MAAC
299,Lehigh,10-16,Patriot
300,NJIT,14-12,America East
301,Northwestern St.,6-19,Southland
302,Northern Ariz.,7-17,Big Sky
303,Evansville,4-21,MVC
304,Ark.-Pine Bluff,9-15,SWAC
305,Alabama A&M,12-11,SWAC
306,Jacksonville,8-18,ASUN
307,Norfolk St.,9-14,MEAC
308,Loyola Chicago,6-21,Atlantic 10
309,Cleveland St.,7-18,Horizon
310,Alabama St.,8-17,SWAC
311,West Ga.,10-15,ASUN
312,Little Rock,8-17,OVC
313,IU Indy,5-21,Horizon
314,NIU,7-16,MAC
315,Louisiana,9-18,Sun Belt
316,Tennessee Tech,8-16,OVC
317,Eastern Ill.,8-16,OVC
318,Texas Southern,7-15,SWAC
319,CSU Bakersfield,6-18,Big West
320,Wagner,6-16,NEC
321,UMass Lowell,8-15,America East
322,Manhattan,11-16,MAAC
323,Ball St.,6-18,MAC
324,Lafayette,8-19,Patriot
325,Stetson,7-18,ASUN
326,Prairie View,6-16,SWAC
327,FDU,7-17,NEC
328,Loyola Maryland,9-17,Patriot
329,New Haven,8-15,NEC
330,Holy Cross,7-19,Patriot
331,Army West Point,9-17,Patriot
332,UAlbany,6-17,America East
333,Florida A&M,8-14,SWAC
334,New Hampshire,6-16,America East
335,Oral Roberts,3-22,Summit League
336,Bucknell,8-20,Patriot
337,North Florida,4-21,ASUN
338,North Ala.,6-18,ASUN
339,Stonehill,7-18,NEC
340,Jackson St.,9-17,SWAC
341,UTSA,3-21,American
342,Maine,5-21,America East
343,Niagara,6-19,MAAC
344,Chicago St.,5-21,NEC
345,N.C. Central,6-15,MEAC
346,UMES,6-19,MEAC
347,Air Force,3-23,Mountain West
348,Canisius,7-19,MAAC
349,Southern Ind.,3-21,OVC
350,The Citadel,6-18,SoCon
351,Alcorn,6-19,SWAC
352,Bryant,6-18,America East
353,Saint Francis,4-20,NEC
354,Morgan St.,7-14,MEAC
355,Kansas City,1-22,Summit League
356,ULM,2-24,Sun Belt
357,Rider,2-22,MAAC
358,South Carolina St.,5-18,MEAC
359,VMI,3-22,SoCon
360,Western Ill.,2-22,OVC
361,Delaware St.,3-18,MEAC
362,Gardner-Webb,1-24,Big South
363,Binghamton,2-22,America East
364,Coppin St.,5-21,MEAC
365,Mississippi Val.,0-25,SWAC
