rank,team,conference,record
78,Oklahoma St.,18-12,Big 12
79,Syracuse,15-15,ACC
80,Creighton,15-16,Big East
81,Colorado St.,19-10,Mountain West
82,Providence,14-16,Big East
83,Wichita St.,19-10,American
84,UNI,19-12,MVC
85,Utah Valley,20-7,WAC
86,SFA,25-4,Southland
87,George Washington,16-13,Atlantic 10
88,Butler,15-15,Big East
89,Ole Miss,12-18,SEC
90,UNCW,24-5,CAA
91,Illinois St.,19-11,MVC
92,Notre Dame,13-17,ACC
93,Hofstra,19-10,CAA
94,Georgetown,13-17,Big East
95,Xavier,14-16,Big East
96,Marquette,11-19,Big East
97,George Mason,21-8,Atlantic 10
98,Wyoming,16-13,Mountain West
99,DePaul,16-14,Big East
100,Kansas St.,12-18,Big 12
101,St. Thomas (MN),21-8,Summit League
102,Hawaii,20-7,Big West
103,Liberty,21-6,CUSA
104,Murray St.,20-11,MVC
105,Sam Houston,18-9,CUSA
106,California Baptist,22-8,WAC
107,Oregon,11-19,Big Ten
108,Mississippi St.,13-17,SEC
109,Davidson,16-12,Atlantic 10
110,South Carolina,12-18,SEC
111,Bradley,19-11,MVC
112,Pittsburgh,11-19,ACC
113,UNLV,15-14,Mountain West
114,UAB,18-11,American
115,UC Irvine,19-10,Big West
116,Pacific,15-14,WCC
117,UIC,15-14,MVC
118,Seattle U,17-12,WCC
119,North Dakota St.,22-7,Summit League
120,Southern Ill.,15-16,MVC
121,San Francisco,15-15,WCC
122,Fla. Atlantic,15-13,American
123,UC San Diego,19-10,Big West
124,William & Mary,17-11,CAA
125,Saint Joseph's,18-10,Atlantic 10
126,ETSU,19-10,SoCon
127,Utah,10-20,Big 12
128,Winthrop,18-10,Big South
129,Montana St.,15-13,Big Sky
130,Navy,24-6,Patriot
131,Penn St.,12-18,Big Ten
132,Memphis,12-18,American
133,UC Santa Barbara,16-12,Big West
134,Washington St.,11-19,WCC
135,UTRGV,16-13,Southland
136,Rhode Island,16-14,Atlantic 10
137,Wright St.,19-11,Horizon
138,Northern Colo.,17-11,Big Sky
139,Robert Morris,20-10,Horizon
140,Portland St.,16-10,Big Sky
141,Duquesne,14-14,Atlantic 10
142,Troy,18-11,Sun Belt
143,Fresno St.,12-17,Mountain West
144,Kent St.,20-8,MAC
145,Western Ky.,16-12,CUSA
146,North Texas,16-13,American
147,Col. of Charleston,20-10,CAA
148,Rutgers,12-18,Big Ten
149,Toledo,14-14,MAC
150,Richmond,14-15,Atlantic 10
151,St. Bonaventure,14-15,Atlantic 10
152,Arkansas St.,18-12,Sun Belt
153,Cornell,12-12,Ivy League
154,Austin Peay,19-8,ASUN
155,Valparaiso,17-14,MVC
156,Harvard,15-11,Ivy League
157,Maryland,11-19,Big Ten
158,Bowling Green,14-13,MAC
159,Middle Tenn.,13-14,CUSA
160,Penn,14-11,Ivy League
161,Boston College,10-20,ACC
162,UT Arlington,14-13,WAC
163,Marshall,18-12,Sun Belt
164,Central Ark.,18-11,ASUN
165,Temple,15-14,American
166,Idaho,14-14,Big Sky
167,Kennesaw St.,15-12,CUSA
168,Utah Tech,15-13,WAC
169,Towson,15-14,CAA
170,UC Davis,16-12,Big West
171,Mercer,16-12,SoCon
172,Lipscomb,17-12,ASUN
173,Georgia Tech,11-19,ACC
174,Oregon St.,16-15,WCC
175,LMU (CA),14-17,WCC
176,Monmouth,16-14,CAA
177,Oakland,15-16,Horizon
178,Charlotte,14-15,American
179,South Alabama,19-10,Sun Belt
180,Columbia,14-11,Ivy League
181,Marist,17-11,MAAC
182,App State,17-12,Sun Belt
183,CSUN,17-12,Big West
184,Fordham,13-14,Atlantic 10
185,Merrimack,21-10,MAAC
186,Northern Ky.,16-13,Horizon
187,New Mexico St.,11-15,CUSA
188,Cal St. Fullerton,14-15,Big West
189,Buffalo,15-13,MAC
190,Tennessee St.,18-9,OVC
191,Siena,20-11,MAAC
192,A&M-Corpus Christi,13-14,Southland
193,Weber St.,14-15,Big Sky
194,Montana,13-14,Big Sky
195,Eastern Wash.,12-18,Big Sky
196,LIU,22-10,NEC
197,Furman,16-12,SoCon
198,UT Martin,19-10,OVC
199,Howard,17-10,MEAC
200,Queens (NC),17-13,ASUN
201,Massachusetts,15-15,MAC
202,Drake,11-19,MVC
203,FIU,11-16,CUSA
204,Campbell,12-17,CAA
205,UMBC,19-8,America East
206,Tulane,16-13,American
207,Green Bay,16-14,Horizon
208,Missouri St.,11-16,CUSA
209,James Madison,17-15,Sun Belt
210,South Dakota St.,11-18,Summit League
211,New Orleans,14-17,Southland
212,Drexel,15-15,CAA
213,Quinnipiac,18-12,MAAC
214,Samford,16-13,SoCon
215,Jacksonville St.,11-16,CUSA
216,Indiana St.,9-21,MVC
217,Coastal Carolina,18-12,Sun Belt
218,Southeast Mo. St.,17-12,OVC
219,Elon,12-17,CAA
220,Youngstown St.,12-17,Horizon
221,Southern Miss.,15-15,Sun Belt
222,Portland,12-18,WCC
223,Tarleton St.,10-17,WAC
224,Saint Peter's,16-11,MAAC
225,Colgate,16-14,Patriot
226,Vermont,18-11,America East
227,Stony Brook,15-14,CAA
228,Detroit Mercy,14-14,Horizon
229,Ohio,13-15,MAC
230,Denver,12-16,Summit League
231,Western Caro.,12-15,SoCon
232,Cal Poly,11-18,Big West
233,Eastern Mich.,9-20,MAC
234,Texas St.,17-12,Sun Belt
235,La Salle,8-21,Atlantic 10
236,Louisiana Tech,14-13,CUSA
237,Idaho St.,9-19,Big Sky
238,Iona,18-14,MAAC
239,San Diego,10-20,WCC
240,Wofford,17-12,SoCon
241,Ga. Southern,16-15,Sun Belt
242,Abilene Christian,10-17,WAC
243,Rice,10-18,American
244,UNC Asheville,11-16,Big South
245,Charleston So.,12-16,Big South
246,Fairfield,19-12,MAAC
247,Princeton,8-19,Ivy League
248,Nicholls,12-18,Southland
249,Radford,13-15,Big South
250,Lamar University,10-19,Southland
251,Purdue Fort Wayne,14-15,Horizon
252,Bethune-Cookman,16-14,SWAC
253,Milwaukee,11-20,Horizon
254,Dartmouth,9-15,Ivy League
255,San Jose St.,7-22,Mountain West
256,Old Dominion,11-21,Sun Belt
257,Omaha,11-16,Summit League
258,FGCU,13-17,ASUN
259,American,14-16,Patriot
260,SIUE,16-13,OVC
261,Morehead St.,16-12,OVC
262,Lindenwood,15-15,OVC
263,Boston U.,15-16,Patriot
264,Longwood,13-15,Big South
265,Presbyterian,11-17,Big South
266,East Carolina,10-19,American
267,Sacramento St.,7-20,Big Sky
268,UTEP,8-19,CUSA
269,Hampton,11-18,CAA
270,Long Beach St.,7-22,Big West
271,N.C. A&T,9-18,CAA
272,Delaware,10-19,CUSA
273,Southern Utah,7-20,WAC
274,Pepperdine,7-23,WCC
275,Central Mich.,8-20,MAC
276,UC Riverside,8-22,Big West
277,Mercyhurst,14-16,NEC
278,Southern U.,12-16,SWAC
279,South Dakota,13-15,Summit League
280,UIW,9-19,Southland
281,Mount St. Mary's,14-16,MAAC
282,Bellarmine,11-18,ASUN
283,Chattanooga,10-18,SoCon
284,North Dakota,13-16,Summit League
285,Western Mich.,9-19,MAC
286,Brown,7-17,Ivy League
287,Sacred Heart,13-18,MAAC
288,Lehigh,14-16,Patriot
289,Northeastern,6-23,CAA
290,Central Conn. St.,16-12,NEC
291,Houston Christian,10-19,Southland
292,Eastern Ky.,9-21,ASUN
293,Le Moyne,14-17,NEC
294,Northwestern St.,8-21,Southland
295,Southeastern La.,8-22,Southland
296,West Ga.,13-16,ASUN
297,Jacksonville,10-20,ASUN
298,UNC Greensboro,11-18,SoCon
299,East Texas A&M,9-21,Southland
300,USC Upstate,10-19,Big South
301,Grambling,11-18,SWAC
302,Wagner,11-16,NEC
303,Loyola Chicago,7-23,Atlantic 10
304,Ball St.,9-19,MAC
305,Evansville,5-25,MVC
306,Georgia St.,8-22,Sun Belt
307,Tennessee Tech,10-18,OVC
308,Alabama A&M,14-14,SWAC
309,Little Rock,10-20,OVC
310,Northern Ariz.,7-21,Big Sky
311,Oral Roberts,7-23,Summit League
312,Stetson,10-20,ASUN
313,Louisiana,11-22,Sun Belt
314,Norfolk St.,11-16,MEAC
315,Florida A&M,12-15,SWAC
316,Prairie View,10-17,SWAC
317,Ark.-Pine Bluff,11-18,SWAC
318,UMass Lowell,11-17,America East
319,Cleveland St.,8-22,Horizon
320,Texas Southern,10-17,SWAC
321,Alabama St.,9-21,SWAC
322,Eastern Ill.,10-20,OVC
323,IU Indy,5-25,Horizon
324,Lafayette,10-21,Patriot
325,UAlbany,8-20,America East
326,New Haven,11-17,NEC
327,NJIT,14-16,America East
328,Loyola Maryland,10-20,Patriot
329,CSU Bakersfield,6-23,Big West
330,Manhattan,11-20,MAAC
331,Holy Cross,9-22,Patriot
332,Stonehill,10-20,NEC
333,NIU,7-20,MAC
334,Bucknell,10-23,Patriot
335,FDU,8-21,NEC
336,Army West Point,9-21,Patriot
337,North Florida,5-25,ASUN
338,North Ala.,7-21,ASUN
339,Maine,7-23,America East
340,Chicago St.,6-25,NEC
341,Niagara,7-22,MAAC
342,UTSA,3-24,American
343,Canisius,9-21,MAAC
344,Southern Ind.,5-23,OVC
345,New Hampshire,7-20,America East
346,N.C. Central,8-17,MEAC
347,Jackson St.,11-20,SWAC
348,The Citadel,7-21,SoCon
349,Air Force,3-27,Mountain West
350,UMES,7-22,MEAC
351,Morgan St.,11-15,MEAC
352,Alcorn,8-22,SWAC
353,Bryant,7-21,America East
354,Saint Francis,5-24,NEC
355,ULM,2-28,Sun Belt
356,Rider,3-25,MAAC
357,South Carolina St.,7-21,MEAC
358,VMI,3-25,SoCon
359,Kansas City,1-27,Summit League
360,Binghamton,5-23,America East
361,Gardner-Webb,2-27,Big South
362,Delaware St.,4-21,MEAC
363,Coppin St.,6-24,MEAC
364,Western Ill.,2-26,OVC
365,Mississippi Val.,2-29,SWAC
